"title","Street Tree Planting"
"copyright","Copyright (c) 2022 NYC Department of Parks and Recreation"
"link","http://nyc.gov/parks/treework"
"description","NYC Department of Parks and Recreation"
"language","en-us"
"lastBuildDate","2022-10-25 00:50:05"
"note","The raw data contained here may be displayed differently than what appears on the Tree Work Hub reports at nyc.gov/parks/treework, due to post-processing of the data to make it readable for the web (e.g. updated addresses, entries not displayed due to missing addresses, reformatted dates, etc.)."
"lng","lat","Borough","ZipCode","BuildingNumber","StreetName","FiscalYear","PlantingSpaceID","CommunityBoard","PlantingSeason","CityCouncil","TreeID","WOId","WOStatus","CompletedDate"
" -73.94901447","40.80183598","Manhattan","10026","55","WEST 116 STREET","0","1575612","110","05/31/2022","9","0","18575177","Not Completed",""
" -73.85717307","40.73970461","Queens","11368","101-18","MARTENSE AVENUE","0","1626542","404","05/31/2022","21","0","15622409","Not Completed",""
" -73.94818908","40.80303844","Manhattan","10026","34","WEST 118 STREET","0","1584495","110","05/31/2022","9","0","18595743","Not Completed",""
" -73.94980566","40.82240112","Manhattan","10031","1626","AMSTERDAM AVENUE","0","1590279","109","05/31/2022","7","0","14104999","Not Completed",""
" -73.89501662","40.70450535","Queens","11385","68-34","62 STREET","0","1597366","405","05/31/2022","30","0","7310563","Not Completed",""
" -73.89497162","40.70440046","Queens","11385","61-11","CATALPA AVENUE","0","1597367","405","05/31/2022","30","0","7310562","Not Completed",""
" -74.08114547","40.64278111","Staten Island","10301","79","DANIEL LOW TERRACE","0","1356287","501","05/31/2022","49","0","1635512","Not Completed",""
" -73.80872802","40.73197462","Queens","11365","158-40","JEWEL AVENUE","0","1580843","408","05/31/2022","24","0","15133257","Completed","2022-06-29 00:00:00"
" -73.88442714","40.75071951","Queens","11372","35-35","82 STREET","0","1593883","403","05/31/2022","25","0","15511014","Not Completed",""
" -73.88960108","40.85047840","Bronx","10457","2144","HUGHES AVENUE","0","1566131","206","05/31/2022","15","0","8389157","Not Completed",""
" -73.95122905","40.80842670","Manhattan","10027","256","WEST 123 STREET","0","1594576","110","05/31/2022","9","0","9149798","Not Completed",""
" -73.94830215","40.81674815","Manhattan","0","OPP 488","ST NICHOLAS AVENUE","0","1597451","109","05/31/2022","0","0","16789521","Not Completed",""
" -73.94835870","40.81662652","Manhattan","0","OPP 486","ST NICHOLAS AVENUE","0","1597453","109","05/31/2022","0","0","16789519","Not Completed",""
" -73.94897978","40.81529057","Manhattan","10027","448","ST NICHOLAS AVENUE","0","1597463","110","05/31/2022","9","0","16789497","Not Completed",""
" -73.95076341","40.81288543","Manhattan","10027","366","ST NICHOLAS AVENUE","0","1597486","110","05/31/2022","9","0","16789469","Not Completed",""
" -73.94939791","40.81461085","Manhattan","10027","422","ST NICHOLAS AVENUE","0","1597471","110","05/31/2022","9","0","16789491","Not Completed",""
" -73.85058417","40.70831667","Queens","11375","91-01","71 ROAD","0","1569118","406","05/31/2022","29","0","15634802","Not Completed",""
" -73.96222309","40.81236624","Manhattan","10027","620","WEST 122 STREET","0","1569542","109","05/31/2022","7","0","14110508","Not Completed",""
" -73.95283918","40.82252723","Manhattan","10031","571","WEST 139 STREET","0","2306269","109","05/31/2022","7","0","7635121","Not Completed",""
" -73.80956575","40.73211957","Queens","11365","158-40","JEWEL AVENUE","0","1580835","408","05/31/2022","24","0","15133255","Completed","2022-06-29 00:00:00"
" -73.95188245","40.80284019","Manhattan","10026","160","WEST 116 STREET","0","1573376","110","05/31/2022","9","0","18206671","Not Completed",""
" -73.85464778","40.71142586","Queens","11375","89-09","69 ROAD","0","1619203","406","05/31/2022","29","0","9291308","Not Completed",""
" -73.91723552","40.84643289","Bronx","10452","69","FEATHERBED LANE","0","1627317","205","05/31/2022","14","0","10665823","Not Completed",""
" -73.84927554","40.70912184","Queens","11375","93-22","71 DRIVE","0","1628932","406","05/31/2022","29","0","15600939","Not Completed",""
" -73.94810458","40.80300256","Manhattan","10026","34","WEST 118 STREET","0","1584496","110","05/31/2022","9","0","18595742","Not Completed",""
" -73.96469640","40.64100676","Brooklyn","11226","1416","CORTELYOU ROAD","0","1614496","314","05/31/2022","40","0","16051892","Not Completed",""
" -73.85250623","40.57363098","Queens","11694","134-01","ROCKAWAY BEACH BOULEVARD","0","1710473","414","05/31/2022","32","0","1911942","Not Completed",""
" -73.84839326","40.70931690","Queens","11375","95-25","72 AVENUE","0","1628922","406","05/31/2022","29","0","8158458","Not Completed",""
" -73.96260660","40.80159331","Manhattan","10025","118","WEST 109 STREET","0","2321273","107","05/31/2022","7","0","7598818","Not Completed",""
" -73.84925173","40.70920834","Queens","11375","93-26","71 DRIVE","0","1628931","406","05/31/2022","29","0","15600937","Not Completed",""
" -73.96300373","40.80176053","Manhattan","10025","126","WEST 109 STREET","0","2321277","107","05/31/2022","7","0","17985875","Not Completed",""
" -73.89099285","40.75038422","Queens","11372","35-15","75 STREET","0","2194585","403","05/31/2022","25","4610454","10460479","Not Completed",""
" -73.81378031","40.67485214","Queens","11420","117-18","124 STREET","0","1709272","410","05/31/2022","28","0","16827928","Not Completed",""
" -73.88917823","40.86684975","Bronx","10458","320","EAST 197 STREET","0","2279989","207","05/31/2022","15","5779676","8996213","Not Completed",""
" -74.15817090","40.63676961","Staten Island","10303","2944","RICHMOND TERRACE","0","1860515","501","05/31/2022","49","0","13748815","Not Completed",""
" -73.82200799","40.58251386","Queens","11694","176","BEACH 102 STREET","0","2158560","414","05/31/2022","32","0","18542734","Not Completed",""
" -73.89043157","40.75249335","Queens","11372","34-035","76 STREET","0","2194599","403","05/31/2022","25","4596337","10460482","Not Completed",""
" -73.95449941","40.81050997","Manhattan","10027","113","MORNINGSIDE AVENUE","0","2306653","109","05/31/2022","9","0","18204621","Not Completed",""
" -73.94482709","40.82067101","Manhattan","0","OPP 317","WEST 141 STREET","0","2307563","110","05/31/2022","0","0","18514890","Not Completed",""
" -73.94907986","40.81092068","Manhattan","10027","250","WEST 127 STREET","0","2339390","110","05/31/2022","9","0","18195681","Not Completed",""
" -73.94950037","40.81447041","Manhattan","10027","418","ST NICHOLAS AVENUE","0","1597472","110","05/31/2022","9","0","16789479","Not Completed",""
" -73.96667572","40.80341910","Manhattan","10025","259","WEST 109 STREET","0","1597573","107","05/31/2022","7","0","17990390","Not Completed",""
" -73.95270981","40.82247241","Manhattan","10031","571","WEST 139 STREET","0","2306268","109","05/31/2022","7","0","7635120","Not Completed",""
" -73.89895204","40.70736032","Queens","11385","60-48","WOODBINE STREET","0","1601716","405","05/31/2022","30","0","9511316","Not Completed",""
" -73.89069668","40.84410308","Bronx","10457","1935","CLINTON AVENUE","0","1572387","206","05/31/2022","17","0","18481867","Not Completed",""
" -73.96749041","40.80034615","Manhattan","10025","229","WEST 105 STREET","0","2311728","107","05/31/2022","7","0","18276836","Not Completed",""
" -73.93987023","40.82605469","Manhattan","10039","300","WEST 150 STREET","0","2309624","110","05/31/2022","9","0","14247415","Not Completed",""
" -73.94071246","40.79726728","Manhattan","10029","176","EAST 115 STREET","0","2314240","111","05/31/2022","8","0","8593753","Not Completed",""
" -73.95313770","40.80942274","Manhattan","0","OPP 258","ST NICHOLAS AVENUE","0","2312173","110","05/31/2022","0","0","13476365","Not Completed",""
" -73.94707561","40.80560229","Manhattan","10027","233","LENOX AVENUE","0","2313527","110","05/31/2022","9","0","18084505","Not Completed",""
" -73.93765598","40.79871215","Manhattan","10035","225","EAST 118 STREET","0","2316895","111","05/31/2022","8","0","9368699","Not Completed",""
" -74.15626321","40.63679062","Staten Island","10303","2876","RICHMOND TERRACE","0","1854912","501","05/31/2022","49","0","13748410","Not Completed",""
" -73.94800498","40.78472682","Manhattan","10128","223","EAST  96 STREET","0","2312319","111","05/31/2022","5","0","16478889","Not Completed",""
" -73.94254462","40.79028197","Manhattan","10029","2058","2 AVENUE","0","2324639","111","05/31/2022","8","0","13619038","Not Completed",""
" -73.93969061","40.81545747","Manhattan","10037","540","LENOX AVENUE","0","2328927","110","05/31/2022","9","0","18448763","Not Completed",""
" -73.94214230","40.81370839","Manhattan","10030","104","WEST 134 STREET","0","2325396","110","05/31/2022","9","0","18439911","Not Completed",""
" -73.89302870","40.84252575","Bronx","10457","710","EAST 175 STREET","0","2459606","206","05/31/2022","17","0","13255836","Not Completed",""
" -73.95202994","40.80723928","Manhattan","10027","253","WEST 121 STREET","0","2335628","110","05/31/2022","9","0","9149800","Not Completed",""
" -73.95818176","40.80488905","Manhattan","10026","14","MORNINGSIDE AVENUE","0","2327269","110","05/31/2022","9","0","18035771","Not Completed",""
" -73.93997291","40.81362395","Manhattan","10037","40","WEST 135 STREET","0","2328829","110","05/31/2022","9","0","10384779","Not Completed",""
" -74.00308664","40.72566810","Manhattan","10012","100","SULLIVAN STREET","0","2329257","102","05/31/2022","3","0","7292926","Not Completed",""
" -73.94189526","40.83100560","Manhattan","10032","454","WEST 155 STREET","0","2336859","109","05/31/2022","7","0","14155389","Not Completed",""
" -73.94248943","40.81898502","Manhattan","10030","215","WEST 140 STREET","0","2340618","110","05/31/2022","9","0","9363994","Not Completed",""
" -73.93519369","40.81824218","Manhattan","10037","40","WEST 143 STREET","0","2336205","110","05/31/2022","9","0","18515393","Not Completed",""
" -73.94037839","40.81809530","Manhattan","10030","161","WEST 140 STREET","0","2342705","110","05/31/2022","9","0","18478619","Not Completed",""
" -73.93560621","40.81852115","Manhattan","10037","40","WEST 143 STREET","0","2336817","110","05/31/2022","9","0","18515385","Not Completed",""
" -73.95315102","40.82184310","Manhattan","10031","543","WEST 138 STREET","0","2306379","109","05/31/2022","7","0","18217391","Not Completed",""
" -73.95154443","40.81440886","Manhattan","10027","408","WEST 130 STREET","0","2310903","109","05/31/2022","9","0","18199488","Not Completed",""
" -73.95185747","40.81454029","Manhattan","10027","408","WEST 130 STREET","0","2310906","109","05/31/2022","9","0","18199489","Not Completed",""
" -73.96351246","40.80326021","Manhattan","10025","1021","AMSTERDAM AVENUE","0","2342962","109","05/31/2022","7","0","19036340","Not Completed",""
" -73.94349822","40.80703281","Manhattan","10027","29","WEST 125 STREET","0","2345230","110","05/31/2022","9","0","13423964","Not Completed",""
" -73.95560301","40.80286265","Manhattan","10026","273","WEST 114 STREET","0","2346624","110","05/31/2022","9","0","18227811","Not Completed",""
" -74.12811873","40.63735010","Staten Island","10302","1893","RICHMOND TERRACE","0","2596717","501","05/31/2022","49","0","13765693","Not Completed",""
" -73.92615307","40.81445803","Bronx","10451","237","EAST 141 STREET","0","2770381","201","05/31/2022","17","0","13205244","Not Completed",""
" -73.84250028","40.84230991","Bronx","10461","1369","BLONDELL AVENUE","0","2447468","210","05/31/2022","13","0","14031847","Not Completed",""
" -73.84266437","40.84257222","Bronx","10461","1369","BLONDELL AVENUE","0","2447469","210","05/31/2022","13","0","14031844","Not Completed",""
" -73.84329464","40.83623283","Bronx","10461","1309","HERSCHELL STREET","0","2447677","210","05/31/2022","18","0","14038165","Not Completed",""
" -73.82854302","40.69494429","Queens","11418","91-32","LEFFERTS BOULEVARD","0","2350269","409","05/31/2022","29","0","17922084","Not Completed",""
" -73.75780404","40.68172980","Queens","11413","186-005","NASHVILLE BOULEVARD","0","2386669","412","05/31/2022","27","0","2502510","Not Completed",""
" -73.84304654","40.84284862","Bronx","10461","2635","ROBERTS AVENUE","0","2447344","210","05/31/2022","13","0","14031848","Not Completed",""
" -73.86430739","40.84313097","Bronx","10462","1656","HUNT AVENUE","0","2454326","211","05/31/2022","13","0","14348557","Not Completed",""
